ID,Address,Zip_Code,Beds,Baths,Area,Date,Action,Amount_dollar,Rate_dollar_sqft,Source
1,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-02-2020,Listed,1498000,1117,MLSListings
2,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-02-2020,Listed,1498000,1117,MLSListings
3,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,22-01-2014,Sold,910000,678,MLSListings
4,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,22-01-2014,Sold,910000,678,MLSListings
5,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,17-04-2013,Listed,780000,581,MLSListings
6,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,17-04-2013,Listed,780000,581,MLSListings
7,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,17-04-2013,Listed,780000,581,MLSListings
8,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,17-04-2013,Listed,780000,581,MLSListings
9,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,12-04-2013,Listed,860000,641,MLSListings
10,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,12-04-2013,Listed,860000,641,MLSListings
11,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,12-04-2013,Listed,860000,641,MLSListings
12,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,12-04-2013,Listed,860000,641,MLSListings
13,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-04-2006,Sold,740000,551,Public Record
14,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-04-2006,Sold,740000,551,Public Record
15,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-04-2004,Sold,630000,469,Public Record
16,10023-Long-Oak-Ln_Cupertino_CA_95014_M21807-44400,95014,3,2.5,1341,10-04-2004,Sold,630000,469,Public Record
17,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,13-10-2020,Listed,1100000,850,MLSListings
18,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,13-10-2020,Listed,1100000,850,MLSListings
19,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,11-02-2001,Sold,380000,293,Public Record
20,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,11-02-2001,Sold,380000,293,Public Record
21,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,07-01-1997,Sold,227000,175,Public Record
22,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,07-01-1997,Sold,227000,175,Public Record
23,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,02-11-1988,Sold,149000,115,Public Record
24,1002-Chula-Vista-Ter_Sunnyvale_CA_94086_M14850-49264,94086,2,2.5,1293,02-11-1988,Sold,149000,115,Public Record
25,1007-Rosa-Ave_Sunnyvale_CA_94086_M29191-91795,94086,5,2.5,2016,10-12-2020,Listed,1748000,867,MLSListings
26,1007-Rosa-Ave_Sunnyvale_CA_94086_M29191-91795,94086,5,2.5,2016,10-12-2020,Listed,1748000,867,MLSListings
27,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,31-07-2020,Listed,1325000,888,MLSListings
28,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,31-07-2020,Listed,1325000,888,MLSListings
29,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,02-07-2014,Sold,900000,603,MLSListings
30,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,02-07-2014,Sold,900000,603,MLSListings
31,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,29-12-2013,Listed,850000,570,MLSListings
32,10090-Pasadena-Ave-Apt-A4_Cupertino_CA_95014_M18700-93119,95014,3,2,1491,29-12-2013,Listed,850000,570,MLSListings
